outcome,rating,mean_words,median_words,responses
Coherency,1,27.2,26.5,20
Coherency,2,26.3,20,103
Coherency,3,27.6,22,912
Coherency,4,29.8,25,2837
Completeness,1,27.4,23,185
Completeness,2,30.4,25,765
Completeness,3,29.9,25.5,1654
Completeness,4,27.6,23,1268
Correctness,1,27.6,22.5,60
Correctness,2,29.1,24,243
Correctness,3,29.2,25,1486
Correctness,4,29.1,24,2083
