quality_group,word,n,pct,tf,idf,tf_idf
<= 3.5,laziness,14,0.0035653347594672372,3.565334759467237e-5,0.6931471805599453,2.471301736277086e-5
<= 3.5,lord,13,0.0033106679909338634,3.310667990933863e-5,0.6931471805599453,2.294780183685866e-5
<= 3.5,beddingfield,10,0.002546667685333741,2.546667685333741e-5,0.6931471805599453,1.7652155259122043e-5
<= 3.5,cloudera,9,0.0022920009168003667,2.2920009168003668e-5,0.6931471805599453,1.588693973320984e-5
<= 3.5,pell,9,0.0022920009168003667,2.2920009168003668e-5,0.6931471805599453,1.588693973320984e-5
<= 3.5,bangalore,8,0.0020373341482669925,2.0373341482669927e-5,0.6931471805599453,1.4121724207297636e-5
<= 3.5,guidestar,8,0.0020373341482669925,2.0373341482669927e-5,0.6931471805599453,1.4121724207297636e-5
<= 3.5,nas,8,0.0020373341482669925,2.0373341482669927e-5,0.6931471805599453,1.4121724207297636e-5
<= 3.5,paged,8,0.0020373341482669925,2.0373341482669927e-5,0.6931471805599453,1.4121724207297636e-5
<= 3.5,chapman,7,0.0017826673797336186,1.7826673797336185e-5,0.6931471805599453,1.235650868138543e-5
<= 3.5,graphology,7,0.0017826673797336186,1.7826673797336185e-5,0.6931471805599453,1.235650868138543e-5
<= 3.5,ive,7,0.0017826673797336186,1.7826673797336185e-5,0.6931471805599453,1.235650868138543e-5
<= 3.5,schizophrenia,7,0.0017826673797336186,1.7826673797336185e-5,0.6931471805599453,1.235650868138543e-5
<= 3.5,unfold,7,0.0017826673797336186,1.7826673797336185e-5,0.6931471805599453,1.235650868138543e-5
<= 3.5,amnesty,6,0.0015280006112002443,1.5280006112002444e-5,0.6931471805599453,1.0591293155473225e-5
<= 3.5,atul,6,0.0015280006112002443,1.5280006112002444e-5,0.6931471805599453,1.0591293155473225e-5
<= 3.5,delony,6,0.0015280006112002443,1.5280006112002444e-5,0.6931471805599453,1.0591293155473225e-5
<= 3.5,ieah,6,0.0015280006112002443,1.5280006112002444e-5,0.6931471805599453,1.0591293155473225e-5
<= 3.5,jabari,6,0.0015280006112002443,1.5280006112002444e-5,0.6931471805599453,1.0591293155473225e-5
<= 3.5,las,6,0.0015280006112002443,1.5280006112002444e-5,0.6931471805599453,1.0591293155473225e-5
> 3.5,pta,51,0.006282327811865223,6.282327811865223e-5,0.6931471805599453,4.35457781014771e-5
> 3.5,swat,29,0.003572304049884147,3.5723040498841466e-5,0.6931471805599453,2.4761324802800702e-5
> 3.5,cnms,22,0.0027100237619810765,2.7100237619810765e-5,0.6931471805599453,1.8784453298676395e-5
> 3.5,intramural,22,0.0027100237619810765,2.7100237619810765e-5,0.6931471805599453,1.8784453298676395e-5
> 3.5,howard,21,0.0025868408637092096,2.5868408637092094e-5,0.6931471805599453,1.7930614512372922e-5
> 3.5,ncsbn,21,0.0025868408637092096,2.5868408637092094e-5,0.6931471805599453,1.7930614512372922e-5
> 3.5,asce,18,0.002217292168893608,2.217292168893608e-5,0.6931471805599453,1.5369098153462505e-5
> 3.5,exhibits,18,0.002217292168893608,2.217292168893608e-5,0.6931471805599453,1.5369098153462505e-5
> 3.5,nmls,18,0.002217292168893608,2.217292168893608e-5,0.6931471805599453,1.5369098153462505e-5
> 3.5,physiological,18,0.002217292168893608,2.217292168893608e-5,0.6931471805599453,1.5369098153462505e-5
> 3.5,vacancies,18,0.002217292168893608,2.217292168893608e-5,0.6931471805599453,1.5369098153462505e-5
> 3.5,aia,16,0.0019709263723498736,1.9709263723498738e-5,0.6931471805599453,1.366142058085556e-5
> 3.5,bacb,16,0.0019709263723498736,1.9709263723498738e-5,0.6931471805599453,1.366142058085556e-5
> 3.5,incidents,16,0.0019709263723498736,1.9709263723498738e-5,0.6931471805599453,1.366142058085556e-5
> 3.5,paralegals,16,0.0019709263723498736,1.9709263723498738e-5,0.6931471805599453,1.366142058085556e-5
> 3.5,schoolers,16,0.0019709263723498736,1.9709263723498738e-5,0.6931471805599453,1.366142058085556e-5
> 3.5,trucking,16,0.0019709263723498736,1.9709263723498738e-5,0.6931471805599453,1.366142058085556e-5
> 3.5,biopharmaceutical,15,0.0018477434740780067,1.8477434740780067e-5,0.6931471805599453,1.2807581794552087e-5
> 3.5,ceremonies,15,0.0018477434740780067,1.8477434740780067e-5,0.6931471805599453,1.2807581794552087e-5
> 3.5,essentials,15,0.0018477434740780067,1.8477434740780067e-5,0.6931471805599453,1.2807581794552087e-5
